ok,rtt_ms,t_us,t_loc_us,heap,k,vpv,ipv,vref,vref_port
1,33.67989999969723,39,869,178516,159,13.52494,4.4518,12.22977,
1,61.0073000061675,37,849,178516,160,16.515303,2.937996,17.16203,
1,40.00310000265017,37,726,178736,161,19.19059,1.34405,17.6,
1,54.69089999678545,36,636,178496,162,17.569236,2.311929,12.52999,
1,34.36090000468539,42,969,178540,163,13.403278,3.699195,14.55223,
1,69.19729999935953,38,1018,178564,164,14.902576,2.319583,11.73317,
1,52.55219999526162,21,812,178524,165,19.549422,1.797193,13.56203,
1,34.805399998731446,39,853,178716,166,16.097389,1.096053,14.0,
1,36.07929999998305,60,984,178568,167,13.306945,4.533675,12.52999,
1,62.467200004903134,37,829,178724,168,18.31398,3.227342,11.64047,
1,30.073199995968025,21,771,178508,169,13.779627,3.23099,12.8928,
1,43.76059999776771,38,1031,178568,170,12.097172,3.851975,13.90397,
1,77.93440000386909,21,708,178508,171,17.734005,3.58418,11.20662,
1,24.09349999652477,35,816,178508,172,16.890709,1.294866,12.52999,
1,48.88480000226991,39,948,178516,173,13.971248,3.297512,13.88616,
1,42.99570000148378,27,837,178488,174,15.153494,4.968093,13.02869,
1,31.273599997803103,39,964,178552,175,19.389963,1.608032,13.68903,
1,41.55700000410434,34,860,178484,176,16.719685,3.78486,13.27202,
1,32.9148000018904,36,741,178696,177,13.092347,2.250383,12.52999,
1,34.062899998389184,21,640,178496,178,17.727343,4.604432,14.5476,
1,31.144400003540795,39,956,178516,179,14.733941,1.955775,11.77482,
1,27.26480000274023,39,1023,178536,180,18.574336,3.339931,11.98947,
1,45.061799995892216,39,950,178548,181,15.812707,2.0246,13.76764,
1,22.15960000467021,35,820,178480,182,12.581267,1.071566,12.52999,
1,30.563600004825275,20,587,178464,183,16.639761,1.764441,12.61009,
1,43.46780000196304,20,643,178476,184,19.804264,1.429909,12.24755,
1,38.45359999831999,38,873,178544,185,15.61671,2.578639,13.73858,
1,41.27780000271741,21,615,178492,186,13.858492,3.995023,13.90408,
1,40.271599995321594,35,800,178472,187,17.149638,3.903031,12.52999,
1,38.38459999678889,21,882,178468,188,12.662469,2.410974,13.57725,
1,23.361599996860605,21,730,178700,189,16.158665,2.706885,12.0679,
1,47.3883999948157,39,927,178528,190,12.32494,1.77611,12.53277,
1,23.055899997416418,21,733,178492,191,19.560197,1.650279,13.36672,
1,34.68140000040876,35,896,178500,192,18.816419,4.288549,12.52999,
1,48.0466000008164,39,867,178536,193,15.13035,2.867134,12.62054,
1,34.84200000093551,35,994,178504,194,18.592014,3.722745,11.68355,
1,35.85690000181785,39,875,178552,195,18.69555,4.030386,13.4108,
1,45.40819999965606,39,1022,178536,196,17.530172,4.651896,12.53567,
1,27.77539999806322,35,749,178480,197,18.582457,1.716251,12.52999,
1,57.947699999203905,38,1026,178504,198,17.985794,1.346725,14.24122,
1,35.9184000044479,30,706,178704,199,15.40685,2.587008,11.73651,
1,20.52459999686107,21,790,178692,200,13.617345,4.75162,13.79194,
1,43.59900000417838,38,967,178536,201,12.758213,1.019598,12.88556,
1,21.219700000074226,60,1033,178504,202,14.583366,4.962979,12.52999,
1,31.013500003609806,79,1045,178548,203,14.117561,4.322777,12.52999,
1,75.37400000001071,21,826,178692,204,13.384909,3.345513,10.4,
1,59.05740000162041,38,929,178512,205,19.667275,3.866053,14.0,
1,52.32790000445675,21,700,178508,206,19.844064,3.298227,17.6,
1,25.345900001411792,21,758,178716,207,19.866678,4.348188,21.2,
1,37.285500002326444,36,805,178504,208,18.225986,4.55396,12.52999,
1,23.00909999758005,21,819,178488,209,17.051932,2.425458,13.55082,
1,28.36889999889536,20,580,178648,210,16.22626,1.906002,11.6316,
1,42.117299999517854,21,590,178508,211,18.220353,1.680314,14.0,
1,48.402500004158355,38,1039,178556,212,16.617584,3.143596,17.6,
1,40.40689999965252,36,747,178712,213,17.375222,4.041946,12.52999,
1,28.23829999397276,21,819,178680,214,12.878623,3.499764,12.95489,
1,32.28920000401558,38,944,178564,215,15.311647,3.456806,11.62719,
1,49.97249999723863,38,959,178692,216,17.551876,3.341918,13.67757,
1,26.927600003546104,21,747,178500,217,17.863089,3.080101,14.0,
1,28.52320000238251,60,1047,178504,218,15.702942,2.147075,12.52999,
1,25.180999997246545,21,756,178684,219,13.833213,3.781208,9.354895,
1,36.42470000340836,39,1032,178504,220,17.565691,1.78193,12.18819,
1,22.780899998906534,21,777,178680,221,19.774699,3.684603,17.27757,
1,27.855600004841108,25,844,178500,222,16.249729,4.364701,17.6,
1,60.30260000261478,49,821,178488,223,15.892163,2.903779,12.52999,
1,50.66620000434341,39,1036,178508,224,14.066195,1.624542,11.48906,
1,41.37700000137556,39,970,178524,225,17.692965,4.376444,12.72889,
1,23.535499996796716,21,576,178712,226,17.42239,2.475286,13.67757,
1,41.26640000322368,21,713,178684,227,16.605777,3.25365,17.66337,
1,63.435299998673145,60,1044,178504,228,19.492529,2.550697,12.52999,
1,54.32270000164863,39,960,178552,229,13.318261,4.507732,12.97406,
1,29.735900003288407,38,1012,178536,230,19.157828,1.193062,12.84223,
1,30.16679999564076,39,979,178528,231,13.585792,3.545135,16.20221,
1,21.269099997880403,21,775,178672,232,18.310761,3.42677,14.06337,
1,49.448300000221934,60,984,178536,233,13.532714,1.470566,12.52999,
1,21.591900003841147,39,1018,178504,234,16.047781,4.262042,13.50867,
1,26.205099995422643,38,964,178536,235,13.736537,1.300531,12.27456,
1,25.29530000174418,21,586,178460,236,16.40836,1.767269,15.45616,
1,29.29700000095181,38,863,178532,237,12.53939,4.093058,17.66337,
1,38.05399999691872,35,835,178700,238,18.569813,2.593342,12.52999,
1,44.81730000406969,38,852,178668,239,14.352611,2.108484,9.908669,
1,52.441399995586835,39,1018,178552,240,14.887771,3.307631,12.03075,
1,21.946100001514424,20,762,178668,241,16.222561,2.421397,14.93282,
1,84.38340000429889,38,1026,178552,242,17.099368,3.70307,21.26337,
1,19.126999999571126,45,810,178680,243,16.466232,2.54918,12.52999,
1,26.46120000281371,21,800,178676,244,16.991222,3.367611,11.71498,
1,23.48329999949783,38,962,178488,245,14.722591,2.212804,12.81194,
1,20.987600000808015,21,797,178664,246,16.365991,3.449367,14.77503,
1,26.939199997286778,21,754,178668,247,16.886388,2.531352,17.66337,
1,44.788100000005215,59,841,178472,248,16.526191,4.943079,12.52999,
1,35.824200000206474,21,764,178676,249,15.424196,4.372059,13.34089,
1,67.2335000053863,39,925,178520,250,12.65059,4.500913,12.46858,
1,25.32459999929415,30,791,178508,251,19.533649,2.047456,16.87886,
1,27.22129999892786,21,769,178692,252,12.096811,2.932034,15.80393,
1,27.106699999421835,36,602,178468,253,13.461698,4.886525,12.52999,
1,39.01880000194069,41,853,178496,254,19.181587,4.84266,12.48999,
1,27.92570000019623,78,1003,178552,255,16.830957,3.060641,12.52999,
1,21.14919999439735,21,789,178672,256,18.661743,3.609396,10.4,
1,32.006499997805804,21,719,178496,257,13.988461,4.737144,14.0,
1,27.596100000664592,21,796,178708,258,15.517596,4.094225,17.6,
1,29.40849999868078,38,937,178516,259,16.007504,1.733425,21.2,
1,26.951100000587758,36,654,178508,260,14.367415,3.297643,12.52999,
1,38.84799999650568,21,803,178508,261,13.144017,1.054951,12.68069,
1,50.732899995637126,39,940,178560,262,15.47113,4.048789,13.27793,
1,40.86489999463083,39,952,178560,263,16.913258,2.296586,14.0,
1,49.86050000297837,21,799,178508,264,17.737928,2.938059,17.6,
1,50.87689999345457,60,992,178544,265,19.996011,4.104127,12.52999,
1,32.88140000222484,38,1040,178556,266,18.645052,2.038196,13.30108,
1,60.60210000578081,39,880,178572,267,13.21836,1.797216,12.60564,
1,47.71679999976186,38,922,178572,268,15.45812,3.048596,11.8167,
1,35.08470000087982,38,954,178564,269,13.556875,4.119779,14.20555,
1,39.01359999872511,35,824,178488,270,18.947449,2.26402,12.52999,
1,28.773600002750754,39,954,178528,271,16.064514,3.377498,10.76639,
1,23.841199996240903,38,1009,178552,272,17.779025,1.58989,12.82892,
1,52.85639999783598,21,750,178452,273,14.246968,3.922824,11.5808,
1,42.1007000040845,21,757,178484,274,16.545539,4.599783,11.53796,
1,77.61529999697814,36,749,178500,275,15.582867,2.626451,12.52999,
1,48.2313000029535,21,624,178456,276,14.452058,1.92549,10.61726,
1,33.85639999760315,38,965,178524,277,17.206131,2.058744,14.83099,
1,72.73200000054203,38,1033,178536,278,18.898204,2.082594,13.00156,
1,37.0452999995905,21,677,178492,279,17.386877,3.272737,15.13796,
1,32.352100002754014,35,674,178496,280,17.02767,4.581667,12.52999,
1,56.42480000096839,21,736,178480,281,13.359908,1.599262,12.61364,
1,108.23299999901792,38,1028,178528,282,12.975218,1.305756,13.4543,
1,41.908700004569255,21,744,178488,283,16.273848,1.662925,12.64269,
1,53.59070000122301,21,767,178460,284,18.457343,1.090442,18.73796,
1,88.4927000006428,35,608,178472,285,14.996856,2.892816,12.52999,
1,45.66039999917848,39,1051,178536,286,13.732226,2.423625,12.14104,
1,120.0652000043192,39,644,178480,287,13.782331,2.127312,11.93629,
1,104.50030000356492,21,666,178452,288,19.414968,2.668701,10.62419,
1,44.34860000037588,38,875,178532,289,15.08692,3.444698,15.13796,
1,43.8233000022592,60,1010,178536,290,17.313135,3.641106,12.52999,
1,35.93450000334997,39,963,178536,291,12.678072,3.32761,9.915422,
1,43.827699999383185,21,624,178464,292,17.887389,4.182273,13.18173,
1,72.83649999590125,21,712,178468,293,16.708274,1.522292,11.14875,
1,56.76859999948647,20,817,178476,294,12.669923,2.292215,12.61575,
1,93.55340000183787,35,642,178484,295,19.42047,2.89047,12.52999,
1,74.85840000299504,21,822,178492,296,19.163791,2.8387,9.167209,
1,40.18340000038734,21,690,178508,297,18.040945,2.940509,13.71604,
1,52.33379999845056,21,635,178512,298,17.669618,2.268717,12.10683,
1,46.4570999974967,39,951,178568,299,19.118922,2.062832,11.56172,
1,106.68799999984913,60,1058,178564,300,12.049415,3.884663,12.52999,
1,51.44599999766797,38,748,178468,301,17.412836,3.627606,12.76721,
1,33.33950000524055,21,666,178496,302,17.49932,3.345057,12.83558,
1,111.50820000329986,38,931,178536,303,12.922232,3.676815,13.03998,
1,69.25559999945108,21,830,178480,304,12.052788,1.731372,15.16172,
1,68.27660000271862,37,791,178496,305,15.367027,2.513478,12.52999,
1,41.27080000034766,43,810,178512,306,12.951721,2.70783,12.52999,
1,66.72750000143424,20,671,178504,307,16.988938,2.509854,10.4,
1,54.57019999448676,21,648,178524,308,17.667996,1.923688,14.0,
1,42.50799999863375,21,596,178468,309,13.150602,3.995599,17.6,
1,71.47439999971539,21,679,178484,310,17.349825,2.717483,21.2,
1,63.36829999781912,60,928,176136,311,13.094138,3.654735,12.52999,
1,105.19600000407081,21,699,178472,312,17.999646,1.655771,12.74489,
1,102.47910000180127,38,961,178544,313,17.514414,2.422548,13.61165,
1,95.54610000486718,21,628,178508,314,19.320949,4.006159,14.0,
1,48.58989999775076,21,674,178508,315,14.189849,4.752105,17.6,
1,3540.289799995662,60,1091,178552,316,12.201862,1.739296,12.52999,
1,73.61590000073193,39,1028,178332,317,13.935224,3.92832,13.61689,
1,28.08359999471577,21,791,178512,318,16.209344,2.857502,13.17746,
1,92.2396999958437,25,823,178500,319,13.780267,4.025868,10.44684,
1,44.151800000690855,20,781,178500,320,12.936851,1.989365,18.7254,
1,51.040300000749994,36,637,178496,321,18.450883,2.80419,12.52999,
