ok,rtt_ms,t_us,t_loc_us,heap,k,vpv,ipv,vref,vref_port
1,81.00680000097782,90,1703,182348,336,19.60108,1.122128,17.33919,
1,78.52479999928619,12,1695,182364,337,12.528882,1.111264,16.57615,
1,69.42490000074031,12,1588,182364,338,17.327557,1.880931,17.28212,
1,69.17930000054184,12,1628,182364,339,16.611361,4.181465,17.4196,
1,55.96740000146383,11,1666,182360,340,14.654511,1.98271,20.33154,
1,89.81909999965865,90,1775,182368,341,17.803269,2.903591,17.33919,
1,101.17410000020755,12,1637,182352,342,13.193681,1.34978,16.76255,
1,60.930900001039845,12,1642,182352,343,17.89734,4.441649,16.99815,
1,66.616600000998,12,1697,182340,344,19.122897,3.040356,17.20932,
1,74.70939999984694,12,1610,182324,345,13.227637,1.90263,19.55583,
1,68.17260000025271,91,1776,182352,346,15.628191,4.407429,17.33919,
1,67.10449999991397,11,1594,182356,347,17.201579,2.096828,17.85485,
1,77.2385000000213,1,1668,182332,348,18.047509,2.741761,17.10662,
1,72.30860000163375,12,1663,182356,349,19.862112,2.714909,17.41527,
1,79.78350000121281,11,1609,182340,350,18.697571,1.058167,17.61295,
1,68.48849999914819,90,1717,182372,351,17.74577,2.593914,17.33919,
1,71.86849999925471,12,1637,182356,352,15.992074,1.795303,15.74202,
1,71.34000000041851,12,1654,182352,353,19.436092,1.79858,17.9152,
1,67.09810000029393,11,1625,182352,354,16.492694,3.389382,17.33286,
1,74.63850000021921,12,1624,182324,355,18.867547,2.866666,17.70239,
1,66.69370000054187,92,1597,182352,356,18.63913,3.095586,17.33919,
1,74.1799000006722,60,1608,182352,357,19.650677,3.866431,17.33919,
1,69.56290000016452,12,1610,182328,358,19.296842,4.769442,10.4,
1,69.37339999967662,13,1567,182352,359,18.417969,1.48947,14.0,
1,77.30529999935243,12,1606,182336,360,12.995429,3.464967,17.6,
1,68.19639999957872,12,1598,182348,361,14.169653,2.540609,21.2,
1,67.82569999995758,91,1620,182336,362,13.390625,4.048687,17.33919,
1,69.74410000111675,12,1618,182344,363,18.835982,1.531219,14.0,
1,98.06299999945622,5,1332,182328,364,16.134679,2.580052,17.48934,
1,83.24220000031346,12,1592,182344,365,18.320123,2.859969,17.57945,
1,79.55530000072031,13,1609,182328,366,17.846472,3.264416,17.6,
1,76.50980000107666,90,1764,182324,367,19.825985,2.678532,17.33919,
1,70.28900000113936,12,1602,182340,368,19.901367,2.661754,17.0489,
1,65.91019999905257,13,1658,182352,369,13.461349,4.128324,19.0954,
1,73.71630000125151,12,1580,182332,370,14.173752,3.263019,17.4074,
1,67.74519999999029,11,1698,182344,371,17.168121,1.798709,20.46544,
1,69.71900000098685,92,1731,182368,372,12.275255,4.948133,17.33919,
1,69.81800000176008,11,1702,182348,373,18.539121,1.494821,18.64488,
1,70.30080000004091,12,1659,182348,374,18.783755,2.032521,15.5745,
1,72.32529999964754,13,1589,182348,375,13.978278,4.090465,17.56861,
1,65.92989999990095,13,1642,182348,376,18.058896,4.383829,20.2251,
1,71.54069999887724,90,1617,182344,377,13.093216,3.990345,17.33919,
1,72.67070000125386,11,1655,182356,378,15.758591,2.303534,16.00917,
1,69.92729999910807,13,1625,182356,379,17.874423,4.380572,14.66879,
1,72.80729999911273,11,1595,182348,380,14.579686,1.619246,17.38581,
1,67.99300000056974,12,1635,182344,381,19.933478,4.67676,19.65365,
1,72.5271999999677,92,1621,182344,382,14.318729,4.257657,17.33919,
1,67.74880000011763,11,1701,182348,383,12.717546,4.650184,15.80536,
1,74.1214999998192,0,1692,182332,384,18.197218,1.787452,15.80711,
