ok,rtt_ms,t_us,t_loc_us,heap,k,vpv,ipv,vref,vref_port
1,47.4501999997301,21.0,728.0,181388.0,245,14.722591,2.212804,21.1,21.1
1,141.210100002354,54.0,1029.0,181204.0,246,16.365991,3.449367,20.1,20.1
1,23.73500000248896,21.0,715.0,181392.0,247,16.886388,2.531352,21.1,21.1
1,59.90400000155205,29.0,818.0,181200.0,248,16.526191,4.943079,22.1,22.1
1,34.5350000061444,21.0,727.0,181388.0,249,15.424196,4.372059,21.1,21.1
1,48.2657000029576,42.0,758.0,181396.0,250,12.65059,4.500913,22.1,22.1
1,80.12800000142306,38.0,918.0,181236.0,251,19.533649,2.047456,21.1,21.1
1,22.13810000102967,29.0,775.0,181364.0,252,12.096811,2.932034,22.1,22.1
1,51.516600004106294,38.0,931.0,181228.0,253,13.461698,4.886525,23.0,23.0
1,28.829400005633943,55.0,1012.0,181228.0,254,19.181587,4.84266,23.0,23.0
1,19.603800006734673,20.0,759.0,181392.0,255,16.830957,3.060641,22.0,22.0
1,44.36830000486225,54.0,1032.0,181252.0,256,18.661743,3.609396,21.0,21.0
1,38.37360000034096,21.0,727.0,181188.0,257,13.988461,4.737144,22.0,22.0
1,20.823099999688566,44.0,827.0,181380.0,258,15.517596,4.094225,21.0,21.0
1,43.45650000323076,39.0,929.0,181236.0,259,16.007504,1.733425,22.0,22.0
1,37.75849999510683,54.0,1017.0,181224.0,260,14.367415,3.297643,23.0,23.0
1,19.09239999804413,20.0,749.0,181392.0,261,13.144017,1.054951,22.0,22.0
1,30.56980000110343,55.0,935.0,181260.0,262,15.47113,4.048789,21.0,21.0
1,26.38909999950556,21.0,715.0,181180.0,263,16.913258,2.296586,22.0,22.0
1,34.65590000269003,29.0,783.0,181388.0,264,17.737928,2.938059,23.0,23.0
1,28.790399999707006,20.0,577.0,181172.0,265,19.996011,4.104127,23.0,23.0
1,39.13829999510199,29.0,765.0,181400.0,266,18.645052,2.038196,22.0,22.0
1,41.057300004467834,38.0,847.0,181252.0,267,13.21836,1.797216,23.0,23.0
1,38.78439999971306,55.0,940.0,181232.0,268,15.45812,3.048596,23.0,23.0
1,31.060699999216013,38.0,902.0,181236.0,269,13.556875,4.119779,23.0,23.0
1,22.967099997913465,29.0,721.0,181184.0,270,18.947449,2.26402,22.0,22.0
1,49.55559999507386,38.0,931.0,181132.0,271,16.064514,3.377498,21.0,21.0
1,39.79649999382673,55.0,1014.0,181236.0,272,17.779025,1.58989,22.0,22.0
1,21.0367000036058,38.0,940.0,181220.0,273,14.246968,3.922824,23.0,23.0
1,52.85369999910472,54.0,1025.0,181248.0,274,16.545539,4.599783,23.0,23.0
1,19.69229999667732,20.0,737.0,181184.0,275,15.582867,2.626451,22.0,22.0
1,22.490400006063282,28.0,841.0,181160.0,276,14.452058,1.92549,23.0,23.0
1,60.415799998736475,21.0,738.0,181400.0,277,17.206131,2.058744,23.0,23.0
1,43.633900000713766,33.0,779.0,181372.0,278,18.898204,2.082594,23.0,23.0
1,43.06919999362435,38.0,952.0,181224.0,279,17.386877,3.272737,23.0,23.0
1,43.95729999669129,54.0,943.0,181228.0,280,17.02767,4.581667,23.0,23.0
1,23.68399999977555,20.0,577.0,181380.0,281,13.359908,1.599262,22.0,22.0
1,39.47080000216374,58.0,1027.0,181240.0,282,12.975218,1.305756,23.0,23.0
1,20.174400000541937,25.0,727.0,181192.0,283,16.273848,1.662925,23.0,23.0
1,24.222799998824485,55.0,1012.0,181236.0,284,18.457343,1.090442,22.0,22.0
1,19.782800001848955,34.0,774.0,181380.0,285,14.996856,2.892816,21.0,21.0
1,34.08269999636104,54.0,1019.0,181228.0,286,13.732226,2.423625,22.0,22.0
1,44.16070000297623,38.0,930.0,181252.0,287,13.782331,2.127312,21.0,21.0
1,20.82689999951981,42.0,836.0,181384.0,288,19.414968,2.668701,20.0,20.0
1,28.559399994264822,39.0,753.0,181176.0,289,15.08692,3.444698,19.0,19.0
1,21.58910000434844,29.0,780.0,181200.0,290,17.313135,3.641106,18.0,18.0
1,29.26090000255499,20.0,738.0,181188.0,291,12.678072,3.32761,19.0,19.0
1,17.73259999754373,54.0,1020.0,181232.0,292,17.887389,4.182273,20.0,20.0
1,45.33549999905517,39.0,958.0,181236.0,293,16.708274,1.522292,19.0,19.0
1,52.90660000173375,28.0,757.0,181176.0,294,12.669923,2.292215,18.0,18.0
1,29.381400003330782,20.0,542.0,181184.0,295,19.42047,2.89047,17.0,17.0
